INFO 2025-01-24 12:24:56,540 autoreload Watching for file changes with StatReloader
DEBUG 2025-01-24 12:24:56,543 autoreload Waiting for apps ready_event.
DEBUG 2025-01-24 12:24:57,020 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-01-24 12:24:57,080 autoreload Watching dir /src/education/templates with glob **/*.
DEBUG 2025-01-24 12:24:57,081 autoreload Watching dir /opt/pysetup/.venv/lib/python3.11/site-packages/rest_framework/templates with glob **/*.
DEBUG 2025-01-24 12:24:57,082 autoreload Watching dir /src/templates with glob **/*.
DEBUG 2025-01-24 12:24:57,084 autoreload Watching dir /src/locale with glob **/*.mo.
DEBUG 2025-01-24 12:24:57,085 autoreload Watching dir /opt/pysetup/.venv/lib/python3.11/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2025-01-24 12:24:57,086 autoreload Watching dir /src/education/locale with glob **/*.mo.
DEBUG 2025-01-24 12:24:57,087 autoreload Watching dir /src/api/locale with glob **/*.mo.
DEBUG 2025-01-24 12:24:57,088 autoreload Watching dir /opt/pysetup/.venv/lib/python3.11/site-packages/rest_framework/authtoken/locale with glob **/*.mo.
DEBUG 2025-01-24 12:24:57,089 autoreload Watching dir /opt/pysetup/.venv/lib/python3.11/site-packages/django_cas_ng/locale with glob **/*.mo.
DEBUG 2025-01-24 12:24:57,467 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/core/handlers/asgi.py first seen with mtime 1729518126.0
DEBUG 2025-01-24 12:24:57,468 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/urls/utils.py first seen with mtime 1729518127.0
DEBUG 2025-01-24 12:24:57,468 autoreload File /usr/local/lib/python3.11/lib-dynload/_socket.cpython-311-x86_64-linux-gnu.so first seen with mtime 1701232351.0
DEBUG 2025-01-24 12:24:57,469 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/urllib3/util/wait.py first seen with mtime 1729518120.0
DEBUG 2025-01-24 12:24:57,470 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/reportlab/lib/enums.py first seen with mtime 1729518144.0
DEBUG 2025-01-24 12:24:57,471 autoreload File /usr/local/lib/python3.11/ctypes/__init__.py first seen with mtime 1701232364.0
DEBUG 2025-01-24 12:24:57,471 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/celery/utils/threads.py first seen with mtime 1729518144.0
DEBUG 2025-01-24 12:24:57,472 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/contrib/postgres/forms/ranges.py first seen with mtime 1729518125.0
DEBUG 2025-01-24 12:24:57,472 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/templatetags/static.py first seen with mtime 1729518127.0
DEBUG 2025-01-24 12:24:57,473 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/contrib/auth/hashers.py first seen with mtime 1729518124.0
DEBUG 2025-01-24 12:24:57,473 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/reportlab/pdfbase/_fontdata_widths_courieroblique.py first seen with mtime 1729518144.0
DEBUG 2025-01-24 12:24:57,474 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/templatetags/tz.py first seen with mtime 1729518127.0
DEBUG 2025-01-24 12:24:57,475 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/chardet/sbcsgroupprober.py first seen with mtime 1729518128.0
DEBUG 2025-01-24 12:24:57,475 autoreload File /usr/local/lib/python3.11/sqlite3/dbapi2.py first seen with mtime 1701232365.0
DEBUG 2025-01-24 12:24:57,476 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/contrib/messages/api.py first seen with mtime 1729518125.0
DEBUG 2025-01-24 12:24:57,477 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/sqlparse/filters/reindent.py first seen with mtime 1729518119.0
DEBUG 2025-01-24 12:24:57,478 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/http/__init__.py first seen with mtime 1729518126.0
DEBUG 2025-01-24 12:24:57,478 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/contrib/auth/base_user.py first seen with mtime 1729518124.0
DEBUG 2025-01-24 12:24:57,479 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/utils/autoreload.py first seen with mtime 1729518127.0
DEBUG 2025-01-24 12:24:57,479 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/views/decorators/__init__.py first seen with mtime 1729518127.0
DEBUG 2025-01-24 12:24:57,480 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/urllib3/connectionpool.py first seen with mtime 1729518119.0
DEBUG 2025-01-24 12:24:57,480 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/db/migrations/recorder.py first seen with mtime 1729518126.0
DEBUG 2025-01-24 12:24:57,481 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/kombu/compression.py first seen with mtime 1729518128.0
DEBUG 2025-01-24 12:24:57,482 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/celery/utils/time.py first seen with mtime 1729518144.0
DEBUG 2025-01-24 12:24:57,482 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/sqlparse/exceptions.py first seen with mtime 1729518119.0
